"study","n0","mu0","sd0","n1","mu1","sd1","y.cohen","s2.cohen","y.hedges","s2.hedges","cohen.dl.theta","hedges.dl.theta"
"Study01",42,-1.24677789813066,3.23045162856579,41,-0.600687572417504,3.23045162856579,-0.0666653001171442,0.0482272014294919,-0.066046117763115,0.0482260453605868,0.142457667941367,0.140936925108621
"Study02",47,-1.61952956583027,2.53412497323006,46,-1.11270457118425,2.53412497323006,-0.0452090100925178,0.0430269561497577,-0.044835381909935,0.0430265337680173,0.142457667941367,0.140936925108621
"Study03",27,-0.0822723590909646,1.18765708710998,27,0.155259058331032,1.18765708710998,0.147820874268912,0.0742841799478205,0.145678542757769,0.0742705762761114,0.142457667941367,0.140936925108621
"Study04",35,-0.5908751341052,4.2855865880847,35,0.266242183511739,4.2855865880847,0.256812489182004,0.057627803132562,0.253969546497332,0.0576035752182004,0.142457667941367,0.140936925108621
"Study05",31,-0.259867814818198,2.06568056251854,31,0.15326829768551,2.06568056251854,0.22978268727968,0.064956129727037,0.226898385765709,0.0649313135279281,0.142457667941367,0.140936925108621
"Study06",26,-1.77120435069209,3.94486063718796,26,-0.9822322232545,3.94486063718796,0.20186126978986,0.0773305566454887,0.19881813506941,0.0773031601041584,0.142457667941367,0.140936925108621
"Study07",30,0.0784853883565858,1.92720963992178,29,0.463927316340943,1.92720963992178,0.636676724097098,0.0713718573137336,0.628262494263216,0.0711611238328182,0.142457667941367,0.140936925108621
"Study08",36,-1.65970032080699,1.59851196687669,35,-1.33999792743166,1.59851196687669,0.516040010437309,0.0582788968736421,0.51041048305072,0.0581838462168688,0.142457667941367,0.140936925108621
"Study09",39,-0.325184422862112,3.8236121693626,38,0.439538011010409,3.8236121693626,-0.0722505080359212,0.0519916160207862,-0.0715255865506109,0.0519900353064722,0.142457667941367,0.140936925108621
"Study10",47,0.0163420924423744,1.50184961408377,47,0.316712015259128,1.50184961408377,0.169961938543561,0.0427101863836741,0.168572603896066,0.0427043442701293,0.142457667941367,0.140936925108621
"Study11",36,0.339226916074299,1.90213864762336,36,0.719654645598971,1.90213864762336,-0.19317142797514,0.0558220927025981,-0.191094315846375,0.0558091460940888,0.142457667941367,0.140936925108621
"Study12",26,-0.141877742787771,1.91234563291073,25,0.240591383794375,1.91234563291073,-0.315215320815692,0.0794754231398746,-0.310365854341604,0.0794059204570404,0.142457667941367,0.140936925108621
"Study13",38,-0.48775509965599,4.78943345230073,37,0.470131590804156,4.78943345230073,0.402863741689485,0.0544544548183006,0.398710507239078,0.0544026169579302,0.142457667941367,0.140936925108621
"Study14",42,0.55521532604045,3.70395032595843,41,1.29600539123214,3.70395032595843,0.180539207993881,0.0484009677466731,0.178862373244712,0.0483924890888468,0.142457667941367,0.140936925108621
"Study15",40,0.0770607630252982,3.91097444202751,39,0.8592556514308,3.91097444202751,0.355635170596361,0.0514623008005393,0.352159908342976,0.0514259408375075,0.142457667941367,0.140936925108621
"Study16",26,0.138908620913321,3.32111749984324,25,0.803132120881969,3.32111749984324,0.301402047310471,0.0793885098301399,0.296765092736464,0.0793249651308216,0.142457667941367,0.140936925108621
