"study","n0","mu0","sd0","n1","mu1","sd1","y.cohen","s2.cohen","y.hedges","s2.hedges","cohen.dl.theta","hedges.dl.theta"
"Study01",4,-1.24677789813066,3.23045162856579,4,-0.600687572417504,3.23045162856579,0.71366994024612,0.542443731967575,0.620582556735757,0.524070169357793,0.260377086420093,0.228367654858621
"Study02",5,-1.61952956583027,2.53412497323006,5,-1.11270457118425,2.53412497323006,0.44826066263295,0.412558601354008,0.404880598507181,0.408196414952377,0.260377086420093,0.228367654858621
"Study03",3,-0.0822723590909646,1.18765708710998,2,0.155259058331032,1.18765708710998,-1.71145212162447,1.32151139410215,-1.24469245209052,0.988259263362445,0.260377086420093,0.228367654858621
"Study04",4,-0.5908751341052,4.2855865880847,3,0.266242183511739,4.2855865880847,2.27816950685343,1.10233896352902,1.9184585320871,0.846224986143176,0.260377086420093,0.228367654858621
"Study05",3,-0.259867814818198,2.06568056251854,3,0.15326829768551,2.06568056251854,-0.648834459760904,0.71928993618832,-0.519067567808723,0.689119261662572,0.260377086420093,0.228367654858621
"Study06",3,-1.77120435069209,3.94486063718796,2,-0.9822322232545,3.94486063718796,2.09302165578065,1.56345660859446,1.52219756784047,1.06504187688728,0.260377086420093,0.228367654858621
"Study07",3,0.0784853883565858,1.92720963992178,3,0.463927316340943,1.92720963992178,0.790108291830117,0.744700555769005,0.632086633464093,0.699961126016998,0.260377086420093,0.228367654858621
"Study08",4,-1.65970032080699,1.59851196687669,3,-1.33999792743166,1.59851196687669,0.740573854668421,0.638178296755178,0.623641140773407,0.611113924223702,0.260377086420093,0.228367654858621
"Study09",4,-0.325184422862112,3.8236121693626,4,0.439538011010409,3.8236121693626,0.0612025950096772,0.50031214646966,0.0532196478345019,0.500177020682227,0.260377086420093,0.228367654858621
"Study10",5,0.0163420924423744,1.50184961408377,5,0.316712015259128,1.50184961408377,0.410491733396472,0.410531466449178,0.370766726938749,0.406873398290244,0.260377086420093,0.228367654858621
"Study11",4,0.339226916074299,1.90213864762336,3,0.719654645598971,1.90213864762336,-1.2190106320307,0.731932025433723,-1.02653526907849,0.658602951809193,0.260377086420093,0.228367654858621
"Study12",3,-0.141877742787771,1.91234563291073,2,0.240591383794375,1.91234563291073,0.810051488348022,0.942697235629141,0.589128355162198,0.868040555218945,0.260377086420093,0.228367654858621
"Study13",4,-0.48775509965599,4.78943345230073,4,0.470131590804156,4.78943345230073,0.0592249584883466,0.500292299642329,0.0514999639029101,0.500165765392625,0.260377086420093,0.228367654858621
"Study14",4,0.55521532604045,3.70395032595843,4,1.29600539123214,3.70395032595843,-0.509580172080025,0.521639329314759,-0.443113193113065,0.512271831369429,0.260377086420093,0.228367654858621
"Study15",4,0.0770607630252982,3.91097444202751,4,0.8592556514308,3.91097444202751,1.10431515855143,0.601625997450539,0.960274050914287,0.557632890803708,0.260377086420093,0.228367654858621
"Study16",3,0.138908620913321,3.32111749984324,2,0.803132120881969,3.32111749984324,0.525435219466193,0.879347028309248,0.382134705066322,0.847936026614946,0.260377086420093,0.228367654858621
"Study17",3,-0.833747435701467,3.31652076356113,2,-0.170443282989241,3.31652076356113,-0.626573597538899,0.89876574552214,-0.455689889119199,0.85409866083788,0.260377086420093,0.228367654858621
"Study18",4,-0.588187422619948,4.50099970120937,3,0.312012517621925,4.50099970120937,0.0172524115466406,0.583363097903751,0.0145283465655921,0.583348409965757,0.260377086420093,0.228367654858621
"Study19",3,-0.183492772001156,2.99164428003132,2,0.414836084005109,2.99164428003132,-0.383687435322595,0.857869341337405,-0.279045407507342,0.841119967278427,0.260377086420093,0.228367654858621
"Study20",3,0.742921868668801,1.13448258209974,2,0.969818385088749,1.13448258209974,-2.53914649513944,1.90787748729649,-1.84665199646505,1.17434569293817,0.260377086420093,0.228367654858621
